Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
AG 10,09/23/11 - 16:36,AG 10,3.500,2.250,1700.00,1700.00,0.017,0.017,1700.00,1700.00,X,15,1.03,X,912000,108.481,62,09/23/11 - 16:54,7432,3733,2458,477,3.5,107.5,6.742,99.01,106.4,423.6,477.2,127266.6,55,6306,4259,5163,3075,1072,1072,100,433.5,
AG 10,05/10/12 - 08:53,AG 10,3.500,2.250,1950.00,1950.00,0.017,0.017,1950.00,1950.00,X,15,1.03,X,912000,111.851,62,05/10/12 - 09:07,7185,3584,1550,-174,3.6,110.6,6.716,99.00,109.5,434.1,174.4,130186.6,47,5848,4885,4915,3528,1303,1216,93,493.5,
AG 10,07/20/12 - 10:31,AG 10,3.500,2.250,1950.00,1950.00,0.017,0.017,1950.00,1950.00,X,15,1.03,X,912000,111.851,62,07/20/12 - 11:11,7692,3733,1864,-36,3.7,110.6,6.716,98.98,109.5,434.0,36.0,128521.3,55,6316,4885,5099,3528,1320,1295,98,527.3,
AG 10,10/01/12 - 09:02,AG 10,3.500,2.250,1925.00,1925.00,0.005,0.005,1925.00,1925.00,X,15,1.03,X,912000,111.851,62,10/01/12 - 09:25,7444,3764,1793,-81,2.5,111.6,6.716,99.29,110.8,439.3,81.1,117149.4,54,6152,4885,5642,3483,1247,1247,100,505.4,
AG 10,01/03/13 - 09:07,AG 10,3.500,2.250,1300.00,1300.00,0.013,0.013,1300.00,1300.00,X,15,1.03,X,640000,127.926,62,01/03/13 - 09:07,6131,1569,2072,-159,5.6,127.2,8.182,99.19,126.2,609.4,158.8,156141.0,56,4218,3257,3314,2352,X,X,X,X,
AG 10,04/20/13 - 10:52,AG 10,3.500,2.250,1300.00,1300.00,0.005,0.005,1300.00,1300.00,X,15,1.03,X,640000,127.926,62,04/20/13 - 11:07,6539,1417,2485,-524,7.3,126.7,8.219,98.90,125.3,608.0,524.4,173896.7,53,4468,3257,3833,2352,424,387,91,160.3,
AG 10,10/11/13 - 11:10,AG 10,3.500,2.250,1300.00,1300.00,0.005,0.005,1300.00,1300.00,X,15,1.03,X,640000,127.926,62,10/11/13 - 11:33,7511,1554,3564,-347,8.1,127.1,8.219,98.98,125.8,610.2,346.9,162657.8,38,5619,3257,3970,2352,595,595,100,244.9,
AG 10,12/28/13 - 09:30,AG 10,3.500,2.250,1300.00,1300.00,0.005,0.005,1300.00,1300.00,X,15,1.03,X,640000,127.926,62,12/28/13 - 09:49,8101,2083,4159,175,8.0,126.9,8.036,98.86,125.5,595.3,175.1,165981.3,57,6197,3257,4393,2352,621,621,100,254.3,
AG 10,04/15/14 - 11:29,AG 10,3.500,2.000,1900.00,1900.00,0.005,0.005,1900.00,1900.00,X,15,1.03,X,640000,127.926,62,04/15/14 - 11:47,7285,2474,1589,-726,5.3,127.1,8.182,98.96,125.7,479.8,725.9,151619.1,45,5823,4760,4598,2716,1238,1238,100,497.1,
AG 11,09/25/11 - 08:47,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,571,508,89,207.1,
AG 11,09/25/11 - 16:48,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1386,1386,100,560.5,
AG 11,05/10/12 - 07:52,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1392,1082,78,442.7,
AG 11,07/18/12 - 17:43,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1322,1162,88,471.1,
AG 11,07/18/12 - 17:46,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1416,1342,95,542.8,
AG 11,09/29/12 - 07:24,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1425,1425,100,576.9,
AG 11,01/03/13 - 08:15,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1745,1662,95,671.0,
