Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 716680292quid (%),Pump Intake Pressure (psi (g)),
.,04/21/17 - 08:36,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1245,1245,100,488.6,
.,05/11/17 - 08:09,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1264,1264,100,556.9,
.,06/02/17 - 08:18,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1248,1248,100,547.4,
.,08/11/17 - 08:44,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1199,1199,100,470.1,
Arta\Arta-11.016,11/11/17 - 09:41,Arta-11,3.500,1.250,3286.00,3286.00,0.0326,0.0326,3297.00,3297.00,X,19,1.05,X,912000,122.013,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1543,1543,100,601.3,
Arta\Arta-13.057,04/28/17 - 08:32,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1154,1154,100,452.3,
Arta\Arta-13.058,05/09/17 - 08:05,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,98.297,X,05/09/17 - 08:05,10942,5740,2845,-1724,1.5,91.8,3.488,3.15,2.9,1.8,1724.3,547124.0,0,9088,7479,6365,2052,X,X,X,X,
Arta\Arta-13.059,06/01/17 - 10:39,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3186,3186,100,1243.8,
Arta\Arta-14.082,04/28/17 - 08:20,Arta-14,3.500,1.250,3636.00,3636.00,0.03636,0.03636,3596.00,3596.00,X,19,1.05,X,320000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1376,1376,100,540.1,
Arta\Arta-15.085,01/29/17 - 09:37,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,182,180,97,72.3,
