Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1296773676quid (%),Pump Intake Pressure (psi (g)),
.,01/22/16 - 08:53,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1191,1177,99,463.6,
.,02/17/16 - 09:49,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1206,1206,100,473.8,
.,03/11/16 - 09:14,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1215,1215,100,478.5,
Arta\Arta-11.013,01/07/16 - 09:46,Arta-11,3.500,1.250,3286.00,3286.00,0.0326,0.0326,3297.00,3297.00,X,19,1.05,X,912000,122.013,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1491,1491,100,581.4,
Arta\Arta-13.050,01/07/16 - 10:06,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1207,850,70,329.6,
Arta\Arta-13.051,01/22/16 - 08:22,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3333,3333,100,1300.9,
Arta\Arta-13.052,01/24/16 - 09:46,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3409,3409,100,1319.8,
Arta\Arta-13.053,02/17/16 - 10:00,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1177,887,75,348.1,
Arta\Arta-13.054,04/01/16 - 08:49,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1184,1184,100,463.8,
Arta\Arta-14.080,02/11/16 - 08:45,Arta-14,3.500,1.250,3636.00,3636.00,0.03636,0.03636,3596.00,3596.00,X,19,1.05,X,320000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1482,1482,100,580.3,
Arta\Arta-15.068,01/03/16 - 08:08,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,221,221,100,88.6,
Arta\Arta-15.069,01/31/16 - 10:09,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1269,1269,100,503.2,
Arta\Arta-15.070,02/08/16 - 09:07,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,173,131,30,53.7,
Arta\Arta-15.071,02/21/16 - 09:57,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,176,135,35,-1.$,
Arta\Arta-15.072,03/20/16 - 09:30,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,186,133,28,54.9,
Arta\Arta-15.073,03/27/16 - 10:25,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,147,122,27,51.0,
Arta\arta-16.076,01/03/16 - 08:33,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,4.4,
Arta\arta-16.077,01/31/16 - 08:55,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,4.3,
Arta\arta-16.078,02/11/16 - 09:34,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.8,
Arta\arta-16.079,02/21/16 - 09:29,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,2.9,
