Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1040455237quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-A-42.057,01/16/16 - 08:51,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,226,196,87,78.7,
East Arta\E-A-42.058,01/29/16 - 09:53,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,235,235,100,95.1,
East Arta\E-A-42.059,03/06/16 - 08:20,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,211,211,100,85.5,
East Arta\E-A-42.060,03/24/16 - 08:37,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,223,198,89,79.6,
East Arta\E-A-42.061,04/24/16 - 10:25,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,216,181,83,72.1,
East Arta\E-A-42.062,05/08/16 - 07:57,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,222,204,92,81.8,
East Arta\E-A-42.063,06/05/16 - 08:05,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,222,214,96,86.4,
East Arta\E-A-42.064,06/26/16 - 09:04,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,204,188,92,76.4,
East Arta\E-A-42.065,08/14/16 - 09:37,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,204,184,90,74.6,
East Arta\E-A-42.066,08/28/16 - 08:39,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,253,241,95,97.1,
East Arta\E-A-42.067,08/28/16 - 08:43,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,233,206,88,83.6,
East Arta\E-A-42.068,10/19/16 - 09:44,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,10/19/16 - 09:52,14956,7662,1919,-1378,6.7,146.2,7.200,33.98,49.7,65.1,1378.3,970585.0,19,11280,9942,11534,2488,243,217,90,87.9,
East Arta\E-A-42.069,12/01/16 - 10:14,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,241,241,100,193.9,
East Arta\E-A-42.070,12/18/16 - 09:24,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,209,189,90,76.5,
East Arta\E-Arata-17.002,01/21/16 - 10:30,E-Arata-17,X,X,X,X,0.03,0.03,4287.00,4287.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1222,1222,100,X,
East Arta\E-Arta-18.017,01/21/16 - 10:35,E-Arta-18,X,X,X,X,0.03743,0.03743,4124.00,4124.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2003,2003,100,X,
East Arta\E-Arta-18.018,04/15/16 - 08:35,E-Arta-18,X,X,X,X,0.03743,0.03743,4124.00,4124.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1086,1060,98,X,
