Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1742857231quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-A-42.071,01/15/17 - 09:45,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,149,149,100,60.2,
East Arta\E-A-42.072,02/26/17 - 14:25,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,160,154,96,147.7,
East Arta\E-A-42.073,03/19/17 - 10:25,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,201,182,91,74.6,
East Arta\E-A-42.074,05/14/17 - 09:24,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,145,139,96,51.0,
East Arta\E-A-42.075,07/09/17 - 10:13,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,249,236,95,95.1,
East Arta\E-A-42.076,07/23/17 - 10:02,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,171,170,100,69.6,
East Arta\E-A-42.077,08/17/17 - 09:30,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,296,274,92,109.6,
East Arta\E-A-42.078,08/23/17 - 10:00,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,438,438,100,171.1,
East Arta\E-A-42.079,09/10/17 - 09:59,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,224,224,100,90.0,
East Arta\E-A-42.080,09/17/17 - 10:42,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,206,206,100,83.5,
East Arta\E-A-42.081,09/24/17 - 08:58,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,307,306,100,122.4,
East Arta\E-A-42.083,10/01/17 - 08:33,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,290,286,99,114.8,
East Arta\E-A-42.084,10/06/17 - 08:32,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,10/06/17 - 08:32,14118,8456,2029,-1467,7.9,142.1,7.229,78.59,111.7,147.1,1466.8,965270.1,0,10450,9942,9032,2488,X,X,X,X,
East Arta\E-A-42.085,10/08/17 - 08:39,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,267,249,93,100.6,
East Arta\E-A-42.086,11/01/17 - 09:58,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,262,262,100,104.7,
East Arta\E-A-42.087,11/19/17 - 11:49,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,264,264,100,106.3,
East Arta\E-A-42.088,12/24/17 - 10:12,E-Arta-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,173,173,100,68.3,
East Arta\E-Arta-18.021,12/29/17 - 09:56,E-Arta-18,X,X,X,X,0.03743,0.03743,4124.00,4124.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1975,1975,100,X,
East Arta\E-Arta-2.001,09/27/17 - 09:43,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,09/27/17 - 09:52,15776,8353,4556,-1242,2.7,93.7,4.196,43.09,40.4,60.5,1241.6,776511.5,11,14042,9832,10267,4304,352,352,100,139.1,
East Arta\E-Arta-2.002,10/22/17 - 16:00,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,236,236,100,93.9,
East Arta\E-Arta-2.003,12/03/17 - 09:42,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,114,114,100,45.9,
East Arta\E-Arta-2.116,09/03/17 - 09:17,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,227,227,100,89.8,
East Arta\E-Arta-20.001,08/13/17 - 09:41,E-Arta-20,3.500,1.250,4762.60,4762.60,0.0477,0.0477,4755.00,4755.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3990,3990,100,1537.2,
