Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 762406135quid (%),Pump Intake Pressure (psi (g)),
EPC\104.003,05/01/08 - 17:03,X,3.500,2.750,2500.00,2259.24,0.05,0.05,2500.00,2259.24,X,20,1.05,X,160000,54.000,X,05/01/08 - 17:29,7526,3879,1932,376,3.3,55.1,12.414,100.00,55.1,603.6,375.7,51363.4,0,5519,4398,5159,5642,X,X,X,X,
EPC\105.001,05/01/08 - 17:55,X,3.500,2.750,3267.72,2551.88,0.05,0.05,3267.72,2551.88,X,20,1.05,X,912000,102.527,X,05/01/08 - 19:05,10784,2166,4515,-1451,9.8,96.3,6.545,96.40,92.8,535.8,1450.8,258298.7,0,8527,4916,4062,6594,1852,1387,75,545.7,
EPC\110.002,04/30/08 - 15:34,X,3.500,2.250,4527.56,2760.06,0.05,0.05,4527.56,2760.06,X,20,1.05,X,320000,107.234,X,04/30/08 - 18:15,11914,3803,5128,-219,5.6,101.7,6.498,11.45,11.6,44.7,219.1,223413.8,0,7139,4194,5977,4488,3,2,90,7.8,
EPC\112.003,05/01/08 - 23:33,X,3.500,1.750,3198.82,2836.80,0.05,0.05,3198.82,2836.80,X,22,1.05,X,228000,40.000,X,05/02/08 - 00:32,10175,4136,4658,-904,1.1,34.3,6.207,20.33,7.0,15.4,903.8,40152.4,4,9173,5478,6101,2903,54,54,100,34.6,
EPC\115.001,04/29/08 - 23:58,X,3.500,2.750,3616.90,2509.05,0.05,0.05,3615.49,2508.34,X,20,1.05,X,320000,71.000,X,05/01/08 - 00:43,14304,3279,9338,-1069,3.2,54.5,4.265,41.60,22.7,85.3,1069.4,165051.5,0,12157,4869,4558,6203,35,27,78,12.1,
EPC\118.001,12/28/05 - 17:57,X,3.500,2.250,3677.82,2980.70,0.05,0.05,3677.82,2980.70,X,20,1.05,X,320000,83.000,X,12/28/05 - 18:22,12446,3683,4537,-781,7.6,74.2,7.469,87.18,64.7,285.2,780.6,200467.9,0,8712,5807,5926,4805,641,574,90,226.8,
EPC\119.001,12/28/05 - 19:00,X,3.500,2.750,2608.27,2578.52,0.05,0.05,2608.27,2578.52,X,20,1.05,X,320000,107.234,X,12/28/05 - 19:23,8579,3925,3026,-395,3.9,104.6,4.286,97.86,102.3,386.7,395.5,449932.4,0,6296,4903,5022,6291,2048,2048,100,799.7,
EPC\119.002,08/10/09 - 15:46,X,3.500,2.750,3011.81,2946.35,0.05,0.05,3448.16,3338.07,X,19,1.05,X,320000,54.000,X,08/10/09 - 16:45,9230,4239,2765,-511,2.8,49.9,6.923,95.99,47.9,292.4,510.9,79621.7,0,7376,5746,5640,7515,2641,2641,100,1035.9,
EPC\120.004,08/10/09 - 11:17,X,2.875,1.750,3874.67,2094.97,0.05,0.05,7844.49,3502.47,X,19,1.05,X,320000,57.143,X,08/10/09 - 12:07,7598,3049,3008,-815,2.5,52.9,6.767,87.76,46.4,112.1,815.1,94971.6,0,5548,4072,4073,2091,507,185,36,147.7,
EPC\131.001,05/02/08 - 23:36,X,3.500,2.250,5249.34,5249.34,0.05,0.05,5249.34,5249.34,X,14,1.05,X,456000,88.851,X,05/03/08 - 00:52,24270,5405,12748,-3986,10.7,57.0,5.769,65.91,37.6,127.9,3986.3,349029.8,0,19396,10585,9274,8796,233,223,96,105.4,
