Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
9.875,08/27/16 - 10:46,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,08/27/16 - 10:46,14881,8662,2116,-220,5.5,143.0,5.085,98.74,141.2,523.2,220.0,1042731.7,3,X,X,X,X,X,X,X,X,
9.875,08/29/16 - 10:45,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,08/29/16 - 10:45,19611,7672,6208,-177,13.7,138.1,5.921,97.05,134.1,578.5,177.3,1322964.9,3,X,X,X,X,X,X,X,X,
9.875,09/21/16 - 16:27,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,09/21/16 - 16:27,17880,7653,4523,-541,10.8,137.1,5.980,96.86,132.8,578.9,541.1,1197857.1,7,12354,10604,8756,9995,2744,2744,100,1070.5,
9.875,09/30/16 - 09:19,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3439,3439,100,1128.6,
9.875,10/18/16 - 09:34,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3487,3487,100,1281.7,
9.875,10/18/16 - 09:44,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,146.553,X,10/18/16 - 09:44,18743,7688,5281,-673,12.0,139.9,5.980,97.50,136.4,594.5,673.4,1237336.3,3,X,X,X,X,X,X,X,X,
9.875,10/25/16 - 14:04,AEB_10,3.500,2.500,4475.00,4475.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,10/25/16 - 14:04,17485,8132,4494,-429,8.6,115.7,6.000,96.31,111.5,487.4,429.1,984621.7,5,X,X,X,X,X,X,X,X,
9.875,12/21/16 - 10:15,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/21/16 - 10:17,22384,7222,8689,-389,13.8,105.1,5.941,89.01,93.6,328.2,388.9,1388918.8,0,X,X,X,X,X,X,X,X,
9.875,12/21/16 - 18:28,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/21/16 - 18:30,22560,7455,8392,-332,8.0,109.0,5.980,45.87,50.0,176.5,331.6,1358844.2,0,X,X,X,X,X,X,X,X,
9.875,12/22/16 - 09:16,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/22/16 - 09:17,18761,9018,7047,-47,4.5,110.1,6.000,23.02,25.3,89.8,47.4,1139566.8,0,X,X,X,X,X,X,X,X,
9.875,12/23/16 - 14:26,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/23/16 - 14:35,19624,7888,6048,-291,11.5,113.6,5.960,99.04,112.5,395.9,290.6,1131628.6,27,X,X,X,X,X,X,X,X,
9.875,12/23/16 - 18:16,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/23/16 - 18:16,21667,7086,7928,-401,13.1,108.1,5.941,89.98,97.3,341.1,401.1,1316151.3,5,X,X,X,X,X,X,X,X,
9.875,12/24/16 - 09:47,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/24/16 - 09:47,19857,7203,6511,-807,6.9,112.7,5.960,49.56,55.8,196.5,807.0,1157119.1,0,X,X,X,X,X,X,X,X,
9.875,12/24/16 - 17:20,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/24/16 - 17:20,20750,7522,6768,-684,6.7,112.1,5.960,41.74,46.8,164.6,684.0,1203322.7,7,X,X,X,X,X,X,X,X,
9.875,12/25/16 - 09:36,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/25/16 - 09:36,20478,7591,6572,-1429,5.9,109.5,5.960,36.83,40.3,141.8,1428.8,1199780.4,0,X,X,X,X,X,X,X,X,
9.875,12/25/16 - 15:09,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/25/16 - 15:09,20290,7626,6544,-377,6.4,112.4,5.980,39.08,43.9,155.1,376.9,1170744.1,6,X,X,X,X,X,X,X,X,
9.875,12/26/16 - 10:52,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/26/16 - 10:52,20238,7495,6849,-600,6.7,111.3,5.980,44.35,49.4,174.2,599.7,1181838.8,5,X,X,X,X,X,X,X,X,
9.875,12/26/16 - 16:40,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/26/16 - 16:40,18237,8891,6438,-69,4.8,111.5,5.941,24.48,27.3,95.7,69.3,1113456.1,3,X,X,X,X,X,X,X,X,
9.875,12/27/16 - 11:46,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/27/16 - 11:48,21645,6884,7208,-254,10.5,109.2,5.980,76.70,83.8,295.7,253.9,1264474.5,3,X,X,X,X,X,X,X,X,
9.875,01/05/17 - 18:21,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/05/17 - 18:21,19291,8956,7209,-71,4.8,109.7,6.000,X,25.2,89.2,70.8,1156354.0,0,X,X,X,X,X,X,X,X,
9.875,01/18/17 - 16:38,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/18/17 - 16:38,16163,8155,3106,-562,6.5,114.2,6.020,95.96,109.6,235.5,561.7,986995.8,6,X,X,X,X,X,X,X,X,
9.875,01/19/17 - 11:50,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/19/17 - 11:50,17669,8061,5130,-495,8.2,104.6,6.000,92.76,97.0,207.9,495.5,1115156.8,0,X,X,X,X,X,X,X,X,
9.875,01/19/17 - 16:24,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,249,47,19,12.6,
9.875,01/19/17 - 16:40,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/19/17 - 16:40,17936,7975,5110,-251,8.3,108.9,5.941,88.41,96.2,204.2,251.1,1134771.1,0,X,X,X,X,X,X,X,X,
9.875,01/22/17 - 10:56,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/22/17 - 10:56,17979,10197,5596,-203,1.9,105.2,6.000,8.66,9.1,19.5,202.7,1141221.3,0,X,X,X,X,X,X,X,X,
9.875,01/22/17 - 11:01,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/22/17 - 11:03,18559,8430,5611,-295,6.1,105.4,5.980,56.18,59.2,126.5,294.9,1175607.1,4,X,X,X,X,X,X,X,X,
9.875,01/23/17 - 08:25,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/23/17 - 08:29,18319,8326,5458,-383,5.2,103.0,5.980,50.90,52.4,111.9,382.9,1162855.6,2,X,X,X,X,X,X,X,X,
9.875,01/28/17 - 08:08,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/28/17 - 08:08,17841,10089,5625,-405,1.5,103.3,6.000,8.49,8.8,18.8,405.2,1131505.1,0,X,X,X,X,X,X,X,X,
9.875,01/29/17 - 14:59,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/29/17 - 14:59,18297,8083,5709,-586,4.8,102.6,5.960,43.89,45.0,95.8,585.8,1160897.2,6,X,X,X,X,X,X,X,X,
9.875,02/14/17 - 16:55,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/14/17 - 16:55,18510,8439,5769,-569,4.3,103.3,5.960,37.47,38.7,82.4,569.0,1174100.4,2,X,X,X,X,X,X,X,X,
9.875,02/16/17 - 09:28,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/16/17 - 09:30,18260,9856,5388,-403,1.6,103.9,6.020,7.63,7.9,17.0,403.4,1156532.3,0,X,X,X,X,X,X,X,X,
9.875,02/16/17 - 16:21,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/16/17 - 16:22,18552,8171,5520,-156,9.2,105.3,6.000,93.82,98.8,211.7,156.2,1171571.6,0,X,X,X,X,X,X,X,X,
9.875,02/17/17 - 09:16,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/17/17 - 09:16,18310,8476,5448,-660,4.3,103.3,5.980,38.09,39.3,84.0,660.1,1162263.6,6,X,X,X,X,X,X,X,X,
9.875,02/17/17 - 15:14,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/17/17 - 15:14,16476,8621,3957,-2185,1.5,103.6,5.960,9.80,10.2,21.6,2184.6,1045080.5,1,X,X,X,X,X,X,X,X,
9.875,02/20/17 - 16:56,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/20/17 - 16:56,19292,8634,6269,-556,4.8,100.1,5.980,35.88,35.9,76.7,556.0,1223656.1,4,X,X,X,X,X,X,X,X,
9.875,02/21/17 - 09:34,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/21/17 - 09:34,18272,8424,5643,-1307,4.2,100.4,5.980,36.20,36.3,77.6,1307.4,1159910.8,7,X,X,X,X,X,X,X,X,
9.875,05/11/17 - 15:29,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/11/17 - 15:29,18233,8956,5403,-501,3.7,109.1,5.941,27.65,30.2,64.0,501.1,1155991.5,0,X,X,X,X,X,X,X,X,
9.875,05/28/17 - 09:17,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/28/17 - 09:17,16646,8929,3906,-1577,1.9,105.9,5.980,8.47,9.0,19.2,1577.1,1054711.3,0,X,X,X,X,X,X,X,X,
9.875,05/28/17 - 11:42,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.3,
9.875,05/28/17 - 17:07,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,97,72,74,28.2,
