Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 216223759quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.001,11/29/12 - 07:36,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1401,1401,100,474.5,
Hana\Hana-10.002,11/29/12 - 07:43,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,11/29/12 - 07:43,12623,7056,749,-779,3.8,150.2,7.200,100.00,150.2,386.2,779.5,832133.6,0,10437,9657,10234,5353,X,X,X,X,
Hana\Hana-10.003,12/05/12 - 09:57,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,913,913,100,312.5,
Hana\Hana-10.004,12/08/12 - 07:07,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,893,893,100,305.9,
Hana\Hana-10.005,12/12/12 - 10:03,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1059,1059,100,361.2,
Hana\Hana-10.006,12/15/12 - 09:06,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1229,1229,100,417.9,
Hana\Hana-10.007,12/19/12 - 08:16,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,2.9,
Hana\Hana-10.008,12/22/12 - 14:48,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,616,590,95,203.6,
Hana\Hana-10.009,12/26/12 - 09:44,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,420,407,96,140.1,
Hana\Hana-10.010,12/29/12 - 08:49,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1052,1052,100,359.4,
Hana\Hana-10.011,01/02/13 - 10:12,Hana-10,3.500,1.750,4891.00,4891.00,0.04709,0.04709,4804.00,4804.00,X,40,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1012,1012,100,345.6,
