Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.195,08/04/18 - 10:39,Hana-10,X,X,X,X,0.04709,0.04709,4841.00,4841.00,X,25.93,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1820,1820,100,X,
Hana\Hana-10.196,08/17/18 - 13:23,Hana-10,X,X,X,X,0.04709,0.04709,4841.00,4841.00,X,25.93,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2134,2087,98,X,
Hana\Hana-10.197,08/23/18 - 11:17,Hana-10,X,X,X,X,0.04709,0.04709,4841.00,4841.00,X,25.93,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1989,1989,100,X,
Hana\Hana-11.284,01/08/18 - 16:54,Hana-11,3.500,2.250,4870.00,4870.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2074,2074,100,776.6,
Hana\Hana-11.285,01/16/18 - 16:08,Hana-11,3.500,2.250,4870.00,4870.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,X,144.000,X,01/16/18 - 16:18,12460,7733,47,-2030,1.8,149.3,9.278,100.00,149.3,817.7,2030.0,X,0,10881,10478,9896,8810,2677,2677,100,997.1,
Hana\Hana-11.286,01/20/18 - 09:02,Hana-11,3.500,2.250,4870.00,4870.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2843,2726,96,1015.5,
Hana\Hana-11.287,01/25/18 - 08:13,Hana-11,3.500,2.250,4870.00,4870.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,X,144.000,X,01/25/18 - 08:13,20305,4989,5186,-1992,22.0,134.4,9.137,95.58,128.4,692.8,1992.1,X,0,15320,10478,12354,8810,X,X,X,X,
Hana\Hana-11.288,02/01/18 - 10:38,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2135,2135,100,799.3,
Hana\Hana-11.289,02/03/18 - 15:41,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2105,2105,100,787.9,
Hana\Hana-11.290,02/17/18 - 10:33,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1848,1848,100,693.2,
Hana\Hana-11.291,02/24/18 - 08:52,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1806,1806,100,677.8,
Hana\Hana-11.292,03/03/18 - 08:40,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1753,1753,100,658.1,
Hana\Hana-11.293,03/30/18 - 15:23,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Hana\Hana-11.294,04/21/18 - 10:49,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1645,1645,100,617.9,
Hana\Hana-11.295,04/27/18 - 08:20,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,75,04/27/18 - 08:26,12589,10365,2152,-1331,1.8,142.9,9.184,6.60,9.4,51.1,1330.5,X,0,12431,10341,11514,8678,2039,2039,100,763.4,
Hana\Hana-11.296,05/09/18 - 08:18,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,75,05/09/18 - 08:31,21021,5976,4841,-298,20.4,141.9,9.137,99.90,141.8,764.8,297.8,X,32,15840,10341,12864,8678,2183,2183,100,816.2,
Hana\Hana-11.297,05/11/18 - 10:27,Hana-11,3.500,2.250,4895.00,4895.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1913,1913,100,698.1,
Hana\Hana-11.298,05/12/18 - 09:38,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1259,1259,100,476.0,
Hana\Hana-11.299,05/26/18 - 08:36,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1086,1086,100,411.7,
Hana\Hana-11.300,06/16/18 - 09:43,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,955,955,100,362.3,
Hana\Hana-11.301,07/10/18 - 11:14,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,807,807,100,307.3,
Hana\Hana-11.302,08/04/18 - 09:05,Hana-11,3.500,2.250,4286.00,4286.00,0.05051,0.05051,4935.00,4935.00,0.0,24.9,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,652,652,100,248.2,
