Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-57986962quid (%),Pump Intake Pressure (psi (g)),
Examples\Anchored but NOT Set.001,12/06/02 - 02:28,071440,2.375,1.500,6929.00,6929.00,0.1,0.1,6932.00,6932.00,86.0,42,1,X,228000,100.000,15,06/07/95 - 18:24,17011,10016,5306,-246,3.7,69.4,4.800,83.22,57.8,72.8,246.3,354332.4,0,15651,11126,11277,4686,4237,1304,31,510.0,
CH West,01/10/02 - 21:25,D1-14,2.875,1.500,9137.00,9137.00,0.05,0.05,9137.00,9137.00,22.0,34,1.03,X,640000,85.714,75,01/10/02 - 21:59,27560,14423,7327,-1211,8.2,59.1,6.667,99.45,58.8,102.8,1211.2,395108.2,68,22897,17942,17571,6286,X,X,100,57.9,
1307,03/19/02 - 17:31,CO2 Flood,2.875,2.250,5363.00,5363.00,0.0735,0.0735,5370.00,5370.00,142.0,34,1.01,1.3,640000,168.000,60,12/13/97 - 01:27,19962,5821,4489,-1528,20.4,159.0,6.818,99.47,158.2,636.5,1527.6,461578.6,0,15001,11998,11421,9700,5220,1150,22,551.6,
Examples\average_well.001,07/29/98 - 19:07,V11FEB24,2.375,1.250,5115.00,5115.00,0.01,0.01,5221.00,5221.00,X,30,1.05,X,320000,100.000,30,02/25/95 - 06:31,11999,6600,2768,-72,4.2,94.1,8.571,64.70,60.9,95.1,72.3,254012.9,0,11570,7811,9733,2707,1984,749,38,411.9,
4113,04/03/03 - 22:53,CO2 Flood,2.875,1.750,5248.00,5248.00,0.0735,0.0735,5311.00,5311.00,155.0,35,1.01,X,640000,168.000,60,08/07/95 - 22:25,15744,6372,4885,-2279,15.4,148.7,6.857,X,122.5,299.9,2278.6,448764.8,0,14547,11075,10496,5607,4554,1036,23,569.7,
Examples\Bad Tail Bearing.002,04/03/03 - 22:56,After Repair Tail Bearing,2.875,1.750,5248.00,5248.00,0.0595,0.0595,5311.00,5311.00,157.0,35,1.01,X,640000,168.000,60,02/22/96 - 01:00,16349,5928,5015,-1266,15.4,151.3,6.977,X,144.1,358.9,1265.8,448166.5,0,14309,11085,10526,5578,4971,1174,24,581.1,
Examples\Deep_well.001,11/12/99 - 22:12,Elizabeth_Taylor_1,2.375,1.500,9660.00,9660.00,0.05,0.05,9755.00,9755.00,50.0,40,1.05,X,320000,100.000,30,11/12/99 - 22:35,24872,15599,7472,-308,5.1,65.5,7.229,X,19.0,36.0,307.5,287889.0,0,20806,15702,15702,7069,796,199,25,136.2,
Examples\FluidPoundUnAnchoredTubing.001,01/07/01 - 09:37,h714e,2.875,1.500,3417.00,3417.00,0.07,0.07,3425.00,3425.00,34.0,35,1.1,X,80000,42.000,X,04/20/96 - 08:49,10423,4665,2872,-157,2.4,35.9,11.215,56.19,20.2,59.3,338.9,80362.2,0,8835,6078,6212,2726,11,9,83,45.5,
Examples\Flumping.009,10/17/02 - 17:34,1-recycl,2.875,2.250,6260.00,6260.00,0.05,0.05,9340.00,9340.00,100.0,47,1.03,X,912000,168.000,75,10/17/02 - 17:34,19736,8579,4407,-837,17.9,183.5,8.108,100.00,183.5,878.1,836.6,1517005.3,0,X,X,X,X,6082,1649,27,556.6,
Examples\Gas Interference.001,01/07/01 - 10:03,CO2 Flood,2.875,2.250,5059.00,5059.00,0.05,0.05,5390.00,5390.00,138.0,34,1.01,X,640000,168.000,60,05/01/98 - 20:29,17532,7946,5091,-376,15.4,155.3,8.511,39.94,62.0,311.6,375.7,468167.9,6,15154,10699,10439,7287,4973,1309,26,692.2,
1,06/10/03 - 20:57,North Dakota Well,2.880,1.750,7634.00,7634.00,0.03,0.03,9138.00,9138.00,35.0,38,1.002,0.952,640000,167.895,50,06/10/03 - 21:27,27723,10402,6943,-1881,20.7,153.0,6.316,93.73,143.4,323.4,1400.0,784247.6,0,22164,17058,18171,7960,2405,2405,100,823.6,
1,06/17/03 - 20:17,North Dakota Well,2.880,1.750,7634.00,7634.00,0.03,0.03,9138.00,9138.00,35.0,38,1.002,0.952,640000,167.895,50,06/17/03 - 20:39,28203,10834,7089,-1292,20.8,155.8,6.316,X,153.1,345.4,1291.7,632375.8,0,22333,17058,17309,7960,2307,2138,93,751.9,
Examples\Gunk in Pump.001,01/07/01 - 10:32,2,2.375,1.750,4769.00,4769.00,0.0375,0.06,4865.00,4865.00,50.0,33.5,1.025,X,456000,168.000,40,07/15/96 - 17:58,16106,1650,5406,-1505,23.2,152.9,8.219,94.13,143.9,422.3,1505.1,485202.2,0,X,X,X,X,400,315,79,175.6,
CH East,07/06/01 - 16:16,SW 1-17,2.875,1.500,9378.00,9378.00,0.05,0.05,9360.00,9360.00,95.0,30,1.03,X,456000,111.881,60,07/06/01 - 17:01,27483,4451,7154,-3675,18.6,166.4,9.231,X,166.4,402.9,3674.9,627980.4,0,17405,17909,17900,7444,1015,898,88,430.7,
Examples\Leak Standing Valve.001,09/16/03 - 18:05,1685,2.375,1.500,6566.00,6566.00,0.05,0.05,8255.00,8255.00,40.0,39,1.09,X,228000,68.085,30,09/16/03 - 18:16,19013,10286,5633,-11,6.2,57.6,7.895,80.98,46.6,96.6,X,136585.3,9,15683,11625,12456,5044,10,3,29,37.8,
Examples\Leak Tubing Hole.001,02/20/01 - 01:06,JG2F,2.375,1.250,6975.00,6975.00,0.04,0.04,7110.00,7110.00,30.0,40,1.05,X,320000,85.200,25,02/19/01 - 22:29,14083,9387,1510,-162,2.5,79.9,6.593,98.78,78.9,94.8,161.6,148528578.9,4,11731,10902,10902,3147,434,392,90,140.4,
Examples\Leak TV Unanchored.001,11/21/00 - 18:06,MAT11,2.875,1.750,3785.00,3785.00,0.05,0.05,3802.00,3802.00,X,36,1.05,X,228000,54.000,15,11/10/00 - 18:13,11367,4277,4568,-177,5.9,49.1,11.321,100.00,49.1,198.7,176.8,339427.8,0,10239,5958,6072,4071,X,X,X,X,
