Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-876888990quid (%),Pump Intake Pressure (psi (g)),
HE-1X,12/15/14 - 08:47,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,655,509,78,201.3,
HE-1X,12/15/14 - 08:56,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,12/15/14 - 09:25,21996,8852,8802,299,7.8,87.4,7.004,40.98,35.8,221.2,298.5,388259.2,0,19186,10798,11940,10270,693,482,70,192.4,
HE-1X,12/28/14 - 10:03,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,12/28/14 - 11:03,22370,8641,9224,214,7.9,85.5,7.087,38.62,33.0,206.2,213.7,397683.3,4,19344,10798,12562,10272,681,452,66,178.5,
HE-1X,01/05/15 - 12:31,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,01/05/15 - 13:05,21646,8657,8909,163,7.6,86.0,7.059,36.86,31.7,197.2,162.7,362529.6,0,19248,10798,12831,10272,684,436,64,171.9,
HE-1X,01/12/15 - 09:31,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,01/12/15 - 09:56,21582,9251,8915,468,6.4,85.8,6.950,27.83,23.9,146.3,468.0,357189.3,0,X,X,X,X,675,467,69,184.2,
HE-1X,01/12/15 - 09:58,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,01/12/15 - 10:04,22110,8955,9209,442,7.4,85.6,6.977,34.29,29.4,180.6,442.0,373389.1,0,19417,10798,12484,10272,X,X,X,X,
HE-1X,01/20/15 - 10:34,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,01/20/15 - 11:07,22681,9006,9281,519,7.6,86.1,7.059,35.04,30.2,187.7,519.0,320771.5,0,19742,10798,12025,10272,694,478,69,189.6,
HE-1X,01/29/15 - 08:58,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,01/29/15 - 09:26,21858,9386,9000,-25,6.6,84.0,7.087,34.55,29.0,181.4,25.3,415187.9,4,19592,10798,12169,10269,659,471,71,186.6,
HE-1X,02/02/15 - 11:19,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,02/02/15 - 11:52,22529,8707,9079,362,8.6,87.8,7.171,44.24,38.8,245.6,362.2,464067.4,0,19560,10798,12224,10269,677,440,65,174.4,
HE-1X,02/13/15 - 09:51,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,02/13/15 - 10:52,22619,8884,9277,198,7.3,84.2,7.143,38.70,32.6,205.2,197.9,439790.8,5,19460,10798,12001,10269,658,457,70,180.9,
HE-1X,02/26/15 - 15:31,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,02/26/15 - 15:42,22139,9178,9203,488,6.6,85.6,7.115,29.18,25.0,156.7,487.6,393393.3,0,19637,10798,11677,10270,602,453,75,178.6,
HE-1X,03/15/15 - 11:19,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,03/15/15 - 12:16,22172,8748,9260,75,7.1,83.5,7.087,33.13,27.7,172.9,74.5,401491.0,3,19677,10797,11533,10274,628,447,71,176.6,
HE-1X,03/27/15 - 10:15,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,03/27/15 - 10:34,22502,9306,9454,495,6.8,86.2,7.143,26.09,22.5,141.6,494.5,424221.4,0,19893,10797,11790,10274,615,422,69,167.0,
HE-1X,04/07/15 - 11:02,H E-1X,3.500,2.750,4265.09,4265.09,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,100.000,75,04/07/15 - 11:40,22968,8934,9710,456,7.7,84.5,7.200,32.63,27.6,174.9,456.1,436497.7,0,20003,10797
