Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-876888990quid (%),Pump Intake Pressure (psi (g)),
H E-1X,01/09/18 - 11:22,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,01/09/18 - 11:22,13090,11862,405,-301,0.5,67.9,5.882,20.35,13.8,48.0,300.7,169585.8,0,8112,12408,6824,7971,X,X,X,X,
H E-1X,01/16/18 - 17:07,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,329,323,98,128.5,
H E-1X,01/21/18 - 08:49,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,791,791,100,311.8,
H E-1X,01/22/18 - 08:45,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,265.7,
H E-1X,01/25/18 - 09:21,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,783,146,19,59.7,
H E-1X,01/25/18 - 12:00,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,788,788,100,310.5,
H E-1X,01/25/18 - 12:15,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,746,746,100,293.9,
H E-1X,01/31/18 - 17:18,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,280.5,
H E-1X,02/01/18 - 13:10,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,263.5,
H E-1X,02/02/18 - 11:25,H E-1X,3.500,2.250,4914.70,4914.70,0.05,0.05,5098.43,5098.43,X,20,1.15,X,456000,68.000,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,691,686,99,276.7,
