Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Fadl\Fadl-1.001,12/07/12 - 07:49,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2299,2299,100,771.9,
Fadl\Fadl-1.002,12/21/12 - 13:27,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2230,2230,100,748.9,
Fadl\Fadl-1.003,12/28/12 - 08:19,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2225,2225,100,747.8,
Fadl\Fadl-1.004,01/04/13 - 08:27,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2138,2138,100,720.0,
Fadl\Fadl-1.005,01/11/13 - 07:45,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2150,2150,100,723.6,
Fadl\Fadl-1.006,01/18/13 - 08:05,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2115,2115,100,711.7,
Fadl\Fadl-1.007,02/01/13 - 08:28,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2103,2103,100,708.8,
Fadl\Fadl-1.008,02/15/13 - 08:48,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2110,2110,100,710.7,
Fadl\Fadl-1.009,03/01/13 - 08:09,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1908,1908,100,643.7,
Fadl\Fadl-1.010,03/15/13 - 08:22,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1855,1855,100,627.7,
Fadl\Fadl-1.011,03/29/13 - 08:30,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1878,1878,100,633.8,
Fadl\Fadl-1.012,04/12/13 - 08:22,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1895,1895,100,641.6,
Fadl\Fadl-1.013,05/17/13 - 07:25,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2067,2067,100,696.0,
Fadl\Fadl-1.014,05/24/13 - 09:36,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2054,2054,100,693.3,
Fadl\Fadl-1.015,06/07/13 - 07:21,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2144,2144,100,716.2,
Fadl\Fadl-1.016,06/21/13 - 08:30,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2230,2230,100,750.4,
Fadl\Fadl-1.017,07/05/13 - 07:48,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2239,2239,100,751.6,
Fadl\Fadl-1.018,07/26/13 - 09:04,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2345,2333,100,782.6,
Fadl\Fadl-1.019,10/25/13 - 15:06,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2063,2063,100,694.5,
Fadl\Fadl-1.020,11/16/13 - 15:09,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2094,2094,100,704.7,
Fadl\Fadl-1.021,12/02/13 - 15:20,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2104,2104,100,707.8,
Fadl\Fadl-1.022,12/27/13 - 10:21,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1073,1073,100,364.2,
Fadl\Fadl-1.023,01/21/14 - 14:52,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2175,1989,91,670.6,
Fadl\Fadl-1.024,03/04/14 - 14:57,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2184,2184,100,721.8,
Fadl\Fadl-1.025,03/25/14 - 10:30,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2044,2044,100,688.5,
Fadl\Fadl-1.026,04/17/14 - 15:50,Fadl-1,3.500,X,3006.00,3006.00,0.03006,0.03006,4334.00,4334.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2114,2114,100,698.9,
