Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-18.251,01/20/18 - 08:56,Hana-18,3.500,2.250,4840.00,4840.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,121.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,569,565,99,222.2,
Hana-West\Hana-18.252,02/05/18 - 14:14,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,208,200,67,79.2,
Hana-West\Hana-18.253,02/24/18 - 08:14,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,236,218,66,85.6,
Hana-West\Hana-18.254,03/03/18 - 08:30,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,165,165,100,66.2,
Hana-West\Hana-18.255,03/20/18 - 07:55,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,03/20/18 - 08:29,27262,14283,9209,-84,9.3,111.8,3.939,81.32,90.9,211.4,84.5,1637050.8,8,20766,16072,10853,8758,691,553,73,206.2,
Hana-West\Hana-18.256,04/10/18 - 09:44,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,222,209,67,82.0,
Hana-West\Hana-18.257,04/21/18 - 10:15,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,188,186,64,72.8,
Hana-West\Hana-18.258,05/07/18 - 11:32,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,326,326,100,124.5,
Hana-West\Hana-18.259,06/23/18 - 14:56,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,295,261,70,101.2,
Hana-West\Hana-18.260,07/09/18 - 13:28,Hana-18,3.500,2.250,4841.30,4841.30,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,1.28e+006,123.000,X,07/09/18 - 13:43,25975,13987,8327,-1331,9.1,110.5,3.956,82.30,91.0,212.4,1330.8,1587363.2,22,25749,16072,20260,8758,263,241,72,93.9,
